------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Work ctr|Type|Group   |GrC|Material    |OpAc|Valid From|Valid to  |Change No.  |Prod.resources/tools  |Descr. of the production resource/tool  |   Quantity|Un.|Item|Cat|Grp1|Grp2|
|07001   |N   |50375580|1  |ET17242     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5003879         |BOLSTER, M/C 07001 (CNC BRAKE) 4.0W     |     1.000 |PC | 200|E  |    |    |
|07001   |N   |50375580|1  |ET17242     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD15536              |. 6" CALIPER,DIGITL W/SPC OUTPUT        |     1.000 |PC |3000|M  |    |    |
|07001   |N   |50375580|1  |ET17242     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MX01003111 ZMD 000 00 |MDS\ET17242\0400                        |     1.000 |EA | 500|D  |    |    |
|08975   |N   |50375583|1  |ET17266     |0090|08/02/2019|12/31/9999|AP0534MXPROD|RCA05                 |TOTE, RETURNABLE 7.5" X 12" X 5"        |    25.000 |PC |   1|M  |    |    |
|04815   |N   |50375584|1  |ET17503     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            | 1,200.000 |PC |   1|M  |    |    |
|04815   |N   |50375584|1  |ET17503     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5004319         |. M/C MOUNT AUTO LU                     |     1.000 |PC |  99|E  |    |    |
|04815   |N   |50375584|1  |ET17503     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD16929              |LUBT DILUTED DRAW LUBE 5:1POLYAQUA      |     1.000 |PC |  99|M  |    |    |
|04815   |N   |50375584|1  |ET17503     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5002189         |DIE, PROG For ET17503                   |     1.000 |PC | 100|E  |    |    |
|04815   |N   |50375584|1  |ET17503     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MXGT-3001583          |CHECKING FIXTURE                        |     1.000 |PC | 300|E  |    |    |
|04815   |N   |50375584|1  |ET17503     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD15536              |. 6" CALIPER,DIGITL W/SPC OUTPUT        |     1.000 |PC |3000|M  |    |    |
